OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y
55,82,John C. Little Garden,37th Ave S & S Willow St,Parks,P-Patch (public),1,1,https://www.seattle.gov/neighborhoods/p-patch-gardening/garden-list/john-c-little-garden,26,2013,System.Byte[],7200,No,,,,1281476.35238104,200361.750209227
56,18,Thistle,8420 42nd Ave S,City Light,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/thistle,77,1974,System.Byte[],130680,No,M L King Jr Way S / S Cloverdale St,,,1282846.01555043,195699.776764452
57,0,Horuichi Park,156 Boren Ave,Parks,P-Patch (public),0,0,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/horiuchi-park,28,2015,System.Byte[],4000, ,Boren Ave / E Fir St,,,1273944.76862931,223502.732504919
58,27,Belltown,2520 Elliott Ave,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/belltown,35,1995,System.Byte[],4400,No,Elliott Ave / Vine St,,,1266119.3486533,227661.195229173
59,81,Kirke Park,7028 9th Ave NW,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/kirke-park,28,2012,System.Byte[],7400,No,9th Ave NW / NW 73rd St,,,1262403.8067615,252161.028598264
60,47,Longfellow Creek,2450 SW Thistle St,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/longfellow-creek,22,2003,System.Byte[],4000,No,SW Thistle St / 25th Ave SW,,,1262250.26864934,196559.966653332
61,10,University District,4009 8th Ave NE,Metro,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/university-district,46,1976,System.Byte[],14400,No,8th Ave NE / NE 40th St,,,1274038.24965341,242932.545516819
62,4,Ballard,8527 25th Ave NW,Church,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/ballard,94,1976,System.Byte[],18000,No,25th Ave NW / NW 85th St,,,1257224.8776042,256111.359162316
63,88,Broadway Hill,500 Federal Ave E,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/broadway-hill-,16,2015,System.Byte[],0, ,Federal Ave E / E Republican St,,,1274165.35819754,230956.840224549
64,36,Marra Farm,9026 4th Ave S,Parks,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/marra-farm,39,1997,System.Byte[],5600,No,S Director St / 5th Ave S,,,1270993.8801143,193871.221306577
